EmployeeID,FirstName,LastName,DOB,State,City,Department,JobTitle,Education,HiringDate,Salary
00-95822412,Navya,Bhalla,1965-04-08,Maharashtra,Mumbai,Operations,Inventory Specialist,Bachelor,2016-10-14 23:45:05,52878
00-42868828,Raghav,Das,1978-10-03,Maharashtra,Pune,Operations,Logistics Coordinator,Bachelor,2017-02-24 04:35:15,55004
00-83197857,Sara,Behl,2000-09-05,Gujarat,Vadodara,Marketing,Content Creator,Bachelor,2016-02-03 18:19:43,54773
00-13999315,Kiara,Kakar,1965-09-23,Punjab,Ludhiana,Sales,Sales Consultant,PhD,2016-01-12 13:43:48,89381
00-90801586,Divij,Chopra,1979-05-26,Maharashtra,Pune,Operations,Logistics Coordinator,Bachelor,2015-07-16 06:15:09,51925
00-97226012,Lavanya,Arya,2001-10-04,Maharashtra,Nagpur,Finance,Financial Analyst,PhD,2022-03-19 05:18:04,75817
00-70291817,Saanvi,Sachar,2000-08-25,Maharashtra,Pune,Customer Service,Support Specialist,Bachelor,2020-06-11 22:12:29,59247
00-31429110,Madhup,Kapur,2003-09-01,Maharashtra,Nagpur,IT,Software Developer,Bachelor,2022-04-19 00:55:31,73458
00-30868105,Zoya,Virk,1964-01-04,Maharashtra,Nagpur,Operations,Logistics Coordinator,Bachelor,2017-10-22 16:35:50,52529
00-22448136,Zara,Buch,1992-04-29,Maharashtra,Mumbai,Operations,Inventory Specialist,Bachelor,2018-05-13 03:21:52,58396
00-56164955,Ranbir,Brahmbhatt,1978-03-21,Maharashtra,Nagpur,IT,IT Support Specialist,High School,2021-10-24 12:16:51,59942
00-71662963,Shayak,Behl,1969-11-17,Maharashtra,Nagpur,Sales,Sales Specialist,Master,2020-05-27 13:10:44,58550
00-84093639,Divit,Gola,1986-12-22,Maharashtra,Mumbai,Operations,Operations Analyst,Master,2017-08-23 11:08:04,65412
00-58537831,Prerak,Swamy,1966-07-10,Punjab,Chandigarh,Operations,Logistics Coordinator,Bachelor,2020-10-10 09:35:35,58365
00-16150444,Amira,Loyal,1972-01-23,Maharashtra,Nagpur,Finance,Financial Analyst,Bachelor,2022-12-25 04:24:57,84008
00-41244663,Uthkarsh,Baral,2001-02-18,Maharashtra,Mumbai,Operations,Logistics Coordinator,Bachelor,2023-04-24 20:37:10,50867
00-70855700,Mishti,Ranganathan,1988-03-05,Maharashtra,Pune,IT,IT Support Specialist,Bachelor,2021-08-13 05:18:43,52720
00-59684848,Kartik,Sarraf,1968-04-19,Maharashtra,Mumbai,Operations,Inventory Specialist,Bachelor,2018-01-18 19:06:51,56209
00-96977837,Nitara,Comar,1983-04-05,Punjab,Ludhiana,Operations,Logistics Coordinator,Bachelor,2016-01-31 23:42:54,55735
00-81691040,Mehul,Verma,1970-06-10,Maharashtra,Nagpur,Operations,Inventory Specialist,Bachelor,2022-05-28 15:01:59,52202
00-60929647,Ranbir,Karan,1988-05-23,Rajasthan,Udaipur,Customer Service,Customer Service Representative,High School,2017-03-05 04:02:45,52273
00-84752529,Tushar,Goel,1977-10-28,Maharashtra,Pune,Sales,Sales Representative,Bachelor,2017-09-18 06:29:07,62344
00-17507864,Priyansh,Sarna,1968-06-04,Maharashtra,Pune,Finance,Financial Analyst,Bachelor,2017-08-25 13:30:44,62777
00-52339391,Myra,Chada,1999-12-01,Maharashtra,Nagpur,Operations,Operations Analyst,Bachelor,2019-10-11 03:57:15,67138
00-86125617,Nirvaan,Bumb,1995-01-09,Maharashtra,Nagpur,Marketing,SEO Specialist,High School,2023-05-28 08:46:51,76001
00-97971488,Purab,Reddy,2001-06-20,Maharashtra,Pune,Sales,Sales Specialist,Master,2020-03-26 06:57:42,66795
00-29175900,Piya,Gaba,1967-05-17,Maharashtra,Pune,Sales,Sales Representative,Bachelor,2017-03-30 22:52:57,66709
00-85345555,Arhaan,Swaminathan,1985-01-12,Punjab,Ludhiana,IT,Software Developer,Bachelor,2020-06-04 19:07:36,86494
00-67503414,Priyansh,Bali,1977-12-04,Maharashtra,Mumbai,HR,Recruiter,Bachelor,2023-12-21 15:02:43,50760
00-39436733,Jiya,Vora,1984-12-24,Rajasthan,Udaipur,Operations,Logistics Coordinator,Bachelor,2024-03-23 13:49:22,57948
00-76238574,Neysa,Krish,1990-06-28,Maharashtra,Mumbai,IT,Software Developer,Bachelor,2016-12-09 13:50:40,94274
00-24716857,Nayantara,Karnik,1973-04-16,Rajasthan,Udaipur,Sales,Sales Consultant,Bachelor,2017-04-13 20:51:43,85090
00-66661351,Hiran,Dasgupta,2001-10-07,West Bengal,Durgapur,Sales,Sales Consultant,Master,2020-07-28 07:37:56,83052
00-89978790,Prerak,Shenoy,2003-05-07,Maharashtra,Pune,Operations,Logistics Coordinator,Bachelor,2024-06-15 09:17:33,56716
00-84252722,Keya,Iyengar,1988-03-14,Tamil Nadu,Madurai,Operations,Operations Analyst,Bachelor,2023-03-27 04:13:03,60083
00-25374874,Hiran,Kumar,1997-02-24,Maharashtra,Nagpur,Sales,Sales Specialist,Master,2022-02-05 07:20:13,78841
00-45812670,Tanya,Bajwa,1971-01-11,Punjab,Amritsar,Operations,Inventory Specialist,Bachelor,2022-03-01 08:35:03,50184
00-49392920,Mishti,Buch,1992-04-17,Maharashtra,Nagpur,Customer Service,Support Specialist,High School,2019-08-20 14:56:06,55173
00-45351479,Chirag,Hans,1989-07-15,Punjab,Ludhiana,Sales,Sales Consultant,Master,2024-08-19 10:04:57,66864
00-24282218,Anahita,Lalla,1980-09-03,Maharashtra,Pune,Finance,Financial Analyst,Bachelor,2023-08-03 20:26:20,66251
00-95758349,Aayush,Sangha,1971-05-13,Maharashtra,Pune,Operations,Logistics Coordinator,Bachelor,2020-09-21 18:00:04,58294
00-60185867,Heer,Sheth,1981-09-21,Maharashtra,Nagpur,Customer Service,Customer Service Representative,High School,2022-10-26 11:51:33,58726
00-81182864,Nayantara,Garde,1971-02-27,West Bengal,Kolkata,Operations,Operations Analyst,Bachelor,2024-04-23 23:37:10,70032
00-75579548,Adira,Brar,1994-06-11,Uttar Pradesh,Varanasi,Sales,Sales Specialist,Master,2015-01-02 06:14:54,56964
00-51273847,Saira,Vora,1981-06-28,Maharashtra,Mumbai,Operations,Logistics Coordinator,Bachelor,2017-07-14 09:48:02,52853
